131	68	147	123	11	197	267	150	57	28
253	168	16	58	40	31	283	103	263	215
146	239	47	63	266	115	166	110	146	170
283	53	183	154	216	82	131	90	262	110
100	258	24	206	215	48	99	61	214	129
251	192	245	174	172	137	174	230	106	5
193	107	89	248	79	93	137	32	89	281
10	32	284	267	219	210	3	223	85	59
90	112	217	163	9	76	206	133	119	126
160	198	26	148	34	122	175	39	260	98
181	227	56	119	116	121	82	17	14	157
5	83	15	90	22	234	282	12	99	219
97	61	226	229	226	194	25	253	227	124
194	219	248	171	240	9	7	167	190	55
53	41	152	125	221	50	135	74	270	173
49	280	157	85	12	99	70	63	88	235
9	52	177	77	31	109	187	231	47	140
285	215	63	232	232	231	19	44	6	206
19	96	171	122	110	130	133	30	13	168
147	24	40	40	83	186	220	225	162	250
123	200	209	146	194	53	47	195	50	38
51	72	276	129	175	242	191	241	118	58
166	181	6	104	248	189	146	263	278	234
269	132	163	234	191	63	197	105	24	93
60	113	119	88	198	278	57	209	120	226
138	179	189	188	141	151	262	37	149	76
271	162	1	23	151	133	78	214	69	238
162	123	137	30	257	77	59	221	267	192
101	252	141	127	236	218	275	140	152	221
119	45	225	285	60	134	83	190	183	9
141	269	77	279	59	172	124	283	49	183
50	95	164	269	85	118	227	40	130	212
185	153	241	198	86	85	157	91	128	228
273	265	285	110	242	34	278	114	242	42
281	287	180	16	15	220	150	153	90	96
228	144	59	12	285	246	169	98	194	148
152	65	19	96	93	182	26	194	284	12
188	125	64	270	283	200	34	156	20	1
77	148	263	235	277	142	195	14	247	190
40	110	76	1	114	222	193	53	188	233
261	155	83	155	176	108	24	202	283	64
257	91	148	75	19	148	14	176	52	258
226	97	216	236	87	49	97	215	15	242
216	15	154	265	250	113	49	285	243	160
0	66	69	132	98	66	161	50	237	277
109	134	37	203	271	145	96	269	219	278
144	278	66	247	280	4	219	228	280	24
219	245	168	137	181	205	64	222	105	18
94	131	212	240	197	68	65	54	101	134
65	38	237	6	138	56	73	175	71	16
89	226	131	195	206	267	194	259	173	99
167	256	125	52	244	3	203	20	70	155
30	4	251	2	67	217	188	22	39	62
220	180	57	260	284	284	254	112	189	207
47	194	86	32	24	170	190	226	274	262
174	67	50	207	63	153	119	45	249	194
108	169	75	197	14	259	87	265	29	69
64	117	210	239	155	21	253	258	204	112
20	88	53	120	220	227	144	257	169	243
112	50	262	124	37	196	238	157	197	79
159	221	158	134	204	94	186	76	245	81
263	174	97	7	203	8	225	69	228	30
164	23	277	173	218	213	127	149	275	106
148	76	94	103	120	125	207	262	5	282
8	203	243	237	246	250	248	31	121	272
16	262	159	48	107	281	257	207	21	224
48	224	267	242	261	248	4	271	9	216
110	142	91	209	39	32	152	236	223	137
124	145	207	114	275	239	234	129	2	162
264	99	60	214	190	181	237	94	60	83
55	229	232	222	99	195	243	57	235	180
145	208	110	185	2	272	105	168	79	229
84	283	122	219	20	287	91	206	259	176
179	260	44	211	51	257	17	189	95	117
78	233	101	94	169	159	2	24	133	264
13	244	134	190	49	46	210	56	92	274
177	105	257	196	238	235	56	273	224	4
178	57	23	160	71	157	123	172	68	89
149	149	281	0	100	155	246	217	199	185
32	47	22	241	56	65	55	62	229	144
158	191	204	249	184	180	200	278	96	177
95	277	192	81	286	212	235	1	212	265
128	54	214	45	8	199	149	261	253	53
195	159	58	98	129	15	249	256	11	139
196	171	65	287	205	264	62	4	131	13
27	286	0	69	165	243	5	177	102	217
31	214	52	107	50	120	0	245	108	154
125	86	201	231	26	244	241	201	217	6
153	255	178	277	46	72	9	276	191	239
114	157	185	24	222	14	92	213	86	230
106	158	186	255	134	280	117	250	114	102
238	220	72	22	121	285	160	107	207	174
105	167	208	186	102	43	109	23	192	51
250	124	35	245	68	86	164	191	98	145
135	70	264	102	279	91	75	49	150	107
134	270	85	135	137	97	38	120	268	225
270	251	33	172	126	78	86	232	266	128
272	100	80	258	199	203	239	59	182	60
187	268	98	181	157	149	261	116	32	164
274	71	17	281	272	276	258	79	23	257
243	27	249	18	147	129	112	216	3	199
278	285	34	143	158	173	272	26	61	94
56	177	81	54	180	147	213	267	160	202
232	206	256	251	119	175	273	101	81	191
155	186	39	140	64	187	256	286	35	37
224	257	132	79	233	52	202	173	187	84
258	240	121	78	74	29	141	185	45	205
190	17	133	193	139	247	277	138	74	21
116	284	259	169	52	16	229	48	166	254
68	111	120	95	118	201	201	243	148	172
33	266	103	246	70	207	113	75	36	147
72	176	29	284	164	266	51	95	110	247
93	274	38	213	101	258	28	169	238	15
150	201	236	257	131	6	41	88	135	279
129	90	100	82	143	249	259	43	215	40
204	30	219	115	21	135	156	198	83	283
275	152	126	162	10	81	280	18	125	231
121	39	165	217	149	166	211	104	251	286
236	170	140	252	78	126	52	9	172	132
34	282	255	208	256	209	162	113	91	19
71	189	227	68	209	75	120	237	209	68
63	247	234	167	213	62	121	161	63	105
98	223	193	168	150	58	12	170	142	70
222	218	4	161	186	80	274	204	134	50
165	34	176	189	43	1	228	3	138	57
210	79	114	164	61	70	31	151	65	209
266	119	218	37	95	114	198	254	155	175
230	271	194	228	7	241	110	208	77	45
44	92	108	17	153	161	189	97	161	287
282	127	68	14	88	22	90	131	117	142
3	64	184	177	41	60	81	252	241	61
57	37	149	224	136	17	95	10	286	115
202	236	246	8	174	51	263	5	218	54
239	275	265	180	117	5	216	233	73	150
248	104	49	165	1	232	212	65	225	131
214	0	181	67	255	282	176	41	4	256
92	209	102	101	65	178	36	164	129	203
143	196	272	55	128	228	85	118	151	208
186	59	252	266	92	277	143	121	62	44
127	187	111	141	192	101	103	287	272	223
191	254	160	200	230	112	240	16	127	135
245	126	211	108	77	271	72	33	216	163
38	151	197	4	45	283	266	66	18	198
111	235	92	253	267	179	192	71	246	149
247	128	30	36	111	100	94	28	240	75
82	231	99	199	66	102	286	124	48	3
52	197	223	25	4	20	232	72	213	280
122	175	104	280	72	47	21	73	26	77
81	13	199	223	273	36	132	184	180	151
205	31	191	133	278	255	180	68	123	88
173	279	155	274	170	84	48	108	154	136
212	33	283	259	89	185	269	210	144	211
25	137	167	131	145	39	233	11	255	113
91	7	280	268	132	251	163	275	42	193
102	121	244	182	162	229	260	281	248	165
163	248	117	126	251	150	79	136	53	244
240	25	271	153	268	19	147	251	277	241
172	89	41	130	160	105	226	119	203	251
256	146	222	64	3	274	153	240	168	213
201	216	73	244	28	221	111	117	256	127
211	120	139	166	96	104	126	242	33	261
87	55	275	151	223	260	285	111	109	237
18	82	247	263	57	111	271	180	104	195
237	84	196	261	106	146	255	147	257	91
14	16	250	43	27	61	45	142	22	20
45	8	43	93	202	240	151	174	164	214
115	10	95	118	196	139	29	84	56	263
198	56	142	254	54	177	214	200	159	10
267	46	2	138	109	98	215	274	124	167
184	74	242	262	33	169	205	193	170	159
29	18	269	99	123	163	168	64	177	116
1	228	150	202	245	42	50	248	178	65
118	202	129	221	97	131	264	211	97	82
218	11	230	57	269	183	107	125	54	268
286	102	36	33	187	41	27	179	165	63
7	98	67	230	252	107	218	0	185	125
73	19	113	204	217	40	138	160	87	184
234	242	136	28	183	198	68	144	250	74
254	205	82	264	113	110	139	272	220	188
99	160	135	276	258	162	122	212	271	66
284	29	258	216	195	119	270	235	208	227
157	156	54	278	90	275	172	229	276	103
85	178	261	179	265	103	204	159	231	25
132	234	239	273	211	45	125	178	176	39
35	115	79	66	276	79	185	127	27	2
180	161	3	73	58	230	179	246	58	273
136	122	173	10	84	10	101	99	232	111
39	183	188	87	38	269	6	51	67	266
208	35	51	238	189	268	13	2	167	33
252	118	138	44	253	95	287	268	179	90
227	101	151	121	229	88	54	36	1	210
223	173	8	275	62	219	130	249	41	197
36	80	144	47	260	176	165	96	265	204
70	164	61	145	140	83	67	67	126	47
6	193	31	139	227	208	136	93	55	276
209	73	286	41	76	89	98	58	94	122
197	78	166	218	171	193	89	86	163	201
11	129	278	142	182	165	177	47	193	118
140	249	78	152	104	171	77	163	137	92
262	106	274	61	224	67	196	239	282	31
23	9	215	38	0	279	84	13	254	97
260	154	127	59	35	188	118	279	107	187
176	81	48	183	262	116	224	115	38	23
117	133	96	158	125	0	35	166	136	245
221	213	13	39	18	226	181	277	222	166
74	75	88	56	193	214	20	238	195	178
171	28	5	106	231	224	104	132	174	46
233	222	221	3	80	30	106	284	72	259
130	48	45	9	44	174	208	155	37	146
235	69	124	233	270	256	148	227	116	141
26	103	268	5	159	261	284	264	236	275
113	230	270	256	228	71	128	109	51	179
79	241	10	149	156	44	22	6	239	56
15	116	71	156	81	254	184	260	19	196
161	217	115	109	133	69	71	280	244	11
103	166	170	34	124	38	100	25	269	186
246	108	32	111	17	132	173	7	252	253
61	1	7	272	36	253	252	220	181	236
276	87	190	46	185	270	178	85	93	269
168	130	253	215	259	154	230	35	44	152
151	21	74	80	167	33	231	282	205	86
249	264	203	29	30	190	276	102	112	32
229	246	161	97	91	216	250	27	153	255
182	163	182	100	148	117	93	87	82	158
241	276	143	178	135	215	15	128	28	29
231	211	153	286	6	225	145	52	141	218
217	93	174	157	200	59	116	158	211	189
170	150	42	15	179	90	10	21	258	270
255	238	118	72	23	192	32	123	198	52
213	190	105	92	235	238	33	78	111	0
175	85	235	271	105	73	60	188	234	222
268	2	12	212	212	54	222	186	10	138
156	3	231	201	178	206	40	171	175	8
200	232	46	205	166	26	221	181	196	85
169	204	205	49	55	202	265	15	100	200
280	63	162	76	13	265	182	89	84	48
183	77	287	65	208	12	39	247	139	26
265	44	84	20	75	136	1	182	115	153
2	138	87	210	82	128	8	234	64	220
76	210	20	112	168	7	236	187	184	123
192	237	254	192	249	211	80	34	230	104
287	185	195	42	281	18	268	80	158	73
189	36	266	159	274	152	30	60	30	41
28	20	240	51	32	236	279	135	7	119
88	58	18	71	154	13	66	106	59	35
225	26	169	86	146	25	43	145	157	7
126	51	107	147	177	262	88	100	43	161
22	273	55	243	287	156	129	266	171	87
199	259	112	225	29	158	69	29	25	252
215	12	206	21	263	124	242	199	40	171
46	43	279	50	69	2	251	81	281	169
58	94	238	144	130	35	134	38	34	248
37	141	11	226	264	263	281	162	226	14
41	49	14	83	115	57	74	42	16	80
21	261	106	62	73	138	46	255	122	17
203	267	145	128	241	245	171	270	8	27
277	165	282	187	210	252	42	77	200	108
59	272	220	53	103	23	167	70	140	271
67	42	146	170	122	167	244	197	221	43
242	250	62	19	237	141	140	141	12	267
142	263	260	175	144	143	44	8	147	101
54	147	233	184	48	24	155	205	261	249
43	62	28	35	207	55	16	82	287	22
66	114	179	116	53	64	247	183	210	34
154	207	228	74	201	144	61	126	279	246
120	60	202	117	239	37	209	218	156	232
62	143	27	282	161	233	76	244	78	71
133	253	175	227	214	168	217	148	31	240
104	184	187	13	254	92	223	134	46	100
139	281	130	70	173	123	142	122	80	114
69	140	93	194	247	106	114	165	103	156
17	6	70	283	225	286	53	137	17	78
107	243	172	105	108	223	63	196	285	260
206	195	25	150	243	184	170	219	132	130
96	172	229	250	152	164	23	146	206	36
12	22	224	27	142	96	154	83	202	181
86	14	109	91	5	273	108	192	233	120
80	182	9	136	112	191	183	203	75	109
244	136	21	89	234	27	11	139	113	143
279	225	90	11	94	74	58	224	0	95
4	40	200	113	47	204	199	130	201	284
259	212	123	176	42	237	37	154	76	72
75	5	198	26	188	160	18	46	145	67
42	188	156	191	16	140	158	152	66	182
137	139	116	60	127	127	245	143	186	49
207	109	213	84	163	11	159	55	143	133
83	199	273	31	25	28	115	19	264	121
24	135	128	220	282	87	102	92	273	285
